"anio_regis","week_regis","ent_regis","deaths_count","channel_endemic_estimation","farrington_estimation_all","farrington_partial","name","abr","date_ref"
2020,1,1,168,159,208.994643908521,208.994643908521,"AGUASCALIENTES","AS",2020-01-01
2020,1,2,673,554.4,680.56024525893,680.56024525893,"BAJA CALIFORNIA","BC",2020-01-01
2020,1,3,86,87.2,111.682895317295,111.682895317295,"BAJA CALIFORNIA SUR","BS",2020-01-01
2020,1,4,100,80,105.447580990216,105.447580990216,"CAMPECHE","CC",2020-01-01
2020,1,5,445,431.6,546.666385459508,546.666385459508,"COAHUILA","CL",2020-01-01
2020,1,6,99,107,119.451132490131,119.451132490131,"COLIMA","CM",2020-01-01
2020,1,7,621,556.8,702.474274877384,702.474274877384,"CHIAPAS","CS",2020-01-01
2020,1,8,662,593.8,644.252598458837,644.252598458837,"CHIHUAHUA","CH",2020-01-01
2020,1,9,1824,1719.2,1906.30020253024,1906.30020253024,"CIUDAD DE MÉXICO","DF",2020-01-01
2020,1,10,247,191.2,310.378098606888,310.378098606888,"DURANGO","DG",2020-01-01
2020,1,11,918,837.4,1059.80793232823,1059.80793232823,"GUANAJUATO","GT",2020-01-01
2020,1,12,368,225.8,624.014867855231,624.014867855231,"GUERRERO","GR",2020-01-01
2020,1,13,403,186,554.104745566316,554.104745566316,"HIDALGO","HG",2020-01-01
2020,1,14,857,1137.8,1267.81215441344,1267.81215441344,"JALISCO","JC",2020-01-01
2020,1,15,1976,1854.2,2206.5076429017,2206.5076429017,"MÉXICO","MC",2020-01-01
2020,1,16,637,425.8,714.175654227526,714.175654227526,"MICHOACÁN","MN",2020-01-01
2020,1,17,275,229.8,298.35660495446,298.35660495446,"MORELOS","MS",2020-01-01
2020,1,18,126,162,164.882072584976,164.882072584976,"NAYARIT","NT",2020-01-01
2020,1,19,736,588,919.211640428039,919.211640428039,"NUEVO LEÓN","NL",2020-01-01
2020,1,20,497,579.6,630.740053459039,630.740053459039,"OAXACA","OC",2020-01-01
2020,1,21,912,857.6,930.835864716718,930.835864716718,"PUEBLA","PL",2020-01-01
2020,1,22,250,258,308.139495544474,308.139495544474,"QUERÉTARO","QT",2020-01-01
2020,1,23,151,133.2,187.344987741791,187.344987741791,"QUINTANA ROO","QR",2020-01-01
2020,1,24,379,392,534.928818847547,534.928818847547,"SAN LUIS POTOSÍ","SP",2020-01-01
2020,1,25,386,274.2,367.854710183491,367.854710183491,"SINALOA","SL",2020-01-01
2020,1,26,490,435,431.93845272573,431.93845272573,"SONORA","SR",2020-01-01
2020,1,27,302,291.6,384.286978396773,384.286978396773,"TABASCO","TC",2020-01-01
2020,1,28,485,358.2,520.229956642306,520.229956642306,"TAMAULIPAS","TS",2020-01-01
2020,1,29,145,157.8,191.993785134985,191.993785134985,"TLAXCALA","TL",2020-01-01
2020,1,30,1196,1096.6,1333.48319092243,1333.48319092243,"VERACRUZ","VZ",2020-01-01
2020,1,31,282,279.8,301.231424525179,301.231424525179,"YUCATÁN","YN",2020-01-01
2020,1,32,280,274.4,311.528054985047,311.528054985047,"ZACATECAS","ZS",2020-01-01
2020,2,1,168,196.6,212.414446482153,212.414446482153,"AGUASCALIENTES","AS",2020-01-08
2020,2,2,616,552.6,665.094051489232,665.094051489232,"BAJA CALIFORNIA","BC",2020-01-08
2020,2,3,95,84.2,110.169204255399,110.169204255399,"BAJA CALIFORNIA SUR","BS",2020-01-08
2020,2,4,100,109.6,96.7893161545873,96.7893161545873,"CAMPECHE","CC",2020-01-08
2020,2,5,438,485.6,549.130946963464,549.130946963464,"COAHUILA","CL",2020-01-08
2020,2,6,109,111.4,120.116116009773,120.116116009773,"COLIMA","CM",2020-01-08
2020,2,7,598,613.8,686.940410028168,686.940410028168,"CHIAPAS","CS",2020-01-08
2020,2,8,596,681.8,640.399188343243,640.399188343243,"CHIHUAHUA","CH",2020-01-08
2020,2,9,1883,1704.4,1932.82045772065,1932.82045772065,"CIUDAD DE MÉXICO","DF",2020-01-08
2020,2,10,224,286.2,309.359276716464,309.359276716464,"DURANGO","DG",2020-01-08
2020,2,11,960,830.2,1056.79875242146,1056.79875242146,"GUANAJUATO","GT",2020-01-08
2020,2,12,333,536.6,609.038378161101,609.038378161101,"GUERRERO","GR",2020-01-08
2020,2,13,380,574.8,554.282532197433,554.282532197433,"HIDALGO","HG",2020-01-08
2020,2,14,920,1113,1267.3739473612,1267.3739473612,"JALISCO","JC",2020-01-08
2020,2,15,1975,1825.2,2214.36659742566,2214.36659742566,"MÉXICO","MC",2020-01-08
