"date_ref","name","metric","deaths"
2020-01-01,"AGUASCALIENTES","deaths_count",168
2020-01-01,"AGUASCALIENTES","channel_endemic_estimation",159
2020-01-01,"AGUASCALIENTES","farrington_estimation_all",208.994643908521
2020-01-01,"AGUASCALIENTES","farrington_partial",208.994643908521
2020-01-01,"BAJA CALIFORNIA","deaths_count",673
2020-01-01,"BAJA CALIFORNIA","channel_endemic_estimation",554.4
2020-01-01,"BAJA CALIFORNIA","farrington_estimation_all",680.56024525893
2020-01-01,"BAJA CALIFORNIA","farrington_partial",680.56024525893
2020-01-01,"BAJA CALIFORNIA SUR","deaths_count",86
2020-01-01,"BAJA CALIFORNIA SUR","channel_endemic_estimation",87.2
2020-01-01,"BAJA CALIFORNIA SUR","farrington_estimation_all",111.682895317295
2020-01-01,"BAJA CALIFORNIA SUR","farrington_partial",111.682895317295
2020-01-01,"CAMPECHE","deaths_count",100
2020-01-01,"CAMPECHE","channel_endemic_estimation",80
2020-01-01,"CAMPECHE","farrington_estimation_all",105.447580990216
2020-01-01,"CAMPECHE","farrington_partial",105.447580990216
2020-01-01,"COAHUILA","deaths_count",445
2020-01-01,"COAHUILA","channel_endemic_estimation",431.6
2020-01-01,"COAHUILA","farrington_estimation_all",546.666385459508
2020-01-01,"COAHUILA","farrington_partial",546.666385459508
2020-01-01,"COLIMA","deaths_count",99
2020-01-01,"COLIMA","channel_endemic_estimation",107
2020-01-01,"COLIMA","farrington_estimation_all",119.451132490131
2020-01-01,"COLIMA","farrington_partial",119.451132490131
2020-01-01,"CHIAPAS","deaths_count",621
2020-01-01,"CHIAPAS","channel_endemic_estimation",556.8
2020-01-01,"CHIAPAS","farrington_estimation_all",702.474274877384
2020-01-01,"CHIAPAS","farrington_partial",702.474274877384
2020-01-01,"CHIHUAHUA","deaths_count",662
2020-01-01,"CHIHUAHUA","channel_endemic_estimation",593.8
2020-01-01,"CHIHUAHUA","farrington_estimation_all",644.252598458837
2020-01-01,"CHIHUAHUA","farrington_partial",644.252598458837
2020-01-01,"CIUDAD DE MÉXICO","deaths_count",1824
2020-01-01,"CIUDAD DE MÉXICO","channel_endemic_estimation",1719.2
2020-01-01,"CIUDAD DE MÉXICO","farrington_estimation_all",1906.30020253024
2020-01-01,"CIUDAD DE MÉXICO","farrington_partial",1906.30020253024
2020-01-01,"DURANGO","deaths_count",247
2020-01-01,"DURANGO","channel_endemic_estimation",191.2
2020-01-01,"DURANGO","farrington_estimation_all",310.378098606888
2020-01-01,"DURANGO","farrington_partial",310.378098606888
2020-01-01,"GUANAJUATO","deaths_count",918
2020-01-01,"GUANAJUATO","channel_endemic_estimation",837.4
2020-01-01,"GUANAJUATO","farrington_estimation_all",1059.80793232823
2020-01-01,"GUANAJUATO","farrington_partial",1059.80793232823
2020-01-01,"GUERRERO","deaths_count",368
2020-01-01,"GUERRERO","channel_endemic_estimation",225.8
2020-01-01,"GUERRERO","farrington_estimation_all",624.014867855231
2020-01-01,"GUERRERO","farrington_partial",624.014867855231
2020-01-01,"HIDALGO","deaths_count",403
2020-01-01,"HIDALGO","channel_endemic_estimation",186
2020-01-01,"HIDALGO","farrington_estimation_all",554.104745566316
2020-01-01,"HIDALGO","farrington_partial",554.104745566316
2020-01-01,"JALISCO","deaths_count",857
2020-01-01,"JALISCO","channel_endemic_estimation",1137.8
2020-01-01,"JALISCO","farrington_estimation_all",1267.81215441344
2020-01-01,"JALISCO","farrington_partial",1267.81215441344
2020-01-01,"MÉXICO","deaths_count",1976
2020-01-01,"MÉXICO","channel_endemic_estimation",1854.2
2020-01-01,"MÉXICO","farrington_estimation_all",2206.5076429017
2020-01-01,"MÉXICO","farrington_partial",2206.5076429017
2020-01-01,"MICHOACÁN","deaths_count",637
2020-01-01,"MICHOACÁN","channel_endemic_estimation",425.8
2020-01-01,"MICHOACÁN","farrington_estimation_all",714.175654227526
2020-01-01,"MICHOACÁN","farrington_partial",714.175654227526
2020-01-01,"MORELOS","deaths_count",275
2020-01-01,"MORELOS","channel_endemic_estimation",229.8
2020-01-01,"MORELOS","farrington_estimation_all",298.35660495446
2020-01-01,"MORELOS","farrington_partial",298.35660495446
2020-01-01,"NAYARIT","deaths_count",126
2020-01-01,"NAYARIT","channel_endemic_estimation",162
2020-01-01,"NAYARIT","farrington_estimation_all",164.882072584976
