"ent_regis","anio_regis","week_regis","deaths_count","channel_endemic_estimation","farrington_estimation_all","farrington_partial","date_ref"
"United States",2020,1,60173,64390.4,66204.4414539007,66204.4414539007,2020-01-01
"United States",2020,2,60733,64965.8,66346.3364682219,66346.3364682219,2020-01-08
"United States",2020,3,59359,62507.6,66431.2184771017,66431.2184771017,2020-01-15
"United States",2020,4,59159,60890.8,65500.46563846,65500.46563846,2020-01-22
"United States",2020,5,58835,59962.8,64514.94405581,64514.94405581,2020-01-29
"United States",2020,6,59478,60286.2,63014.9979663247,63014.9979663247,2020-02-05
"United States",2020,7,58817,59263.2,61935.7214393698,61935.7214393698,2020-02-12
"United States",2020,8,58906,58177.6,61467.8585652336,61467.8585652336,2020-02-19
"United States",2020,9,59330,57687.8,60899.9889391905,60899.9889391905,2020-02-26
"United States",2020,10,59692,58120.2,60553.6398772531,60553.6398772531,2020-03-04
"United States",2020,11,58689,57415.8,60255.6422743734,60255.6422743734,2020-03-11
"United States",2020,12,59216,57079.2,59820.9557455462,59820.9557455462,2020-03-18
"United States",2020,13,63014,56290.4,59574.6108212749,59574.6108212749,2020-03-25
"United States",2020,14,72281,56079.6,59205.343381007,59205.343381007,2020-04-01
"United States",2020,15,79077,55388.8,58803.1231410386,58803.1231410386,2020-04-08
"United States",2020,16,76794,54299.2,58127.5873292051,58127.5873292051,2020-04-15
"United States",2020,17,73903,53701.8,57738.9161338918,57738.9161338918,2020-04-22
"United States",2020,18,69311,53891.4,57115.4592657225,57115.4592657225,2020-04-29
"United States",2020,19,66803,52932.8,56587.1113476257,56587.1113476257,2020-05-06
"United States",2020,20,64480,53139.8,54344.3961275102,54344.3961275102,2020-05-13
"United States",2020,21,61619,52608.6,55467.4583481336,55467.4583481336,2020-05-20
"United States",2020,22,59655,52139.6,54884.4907349327,54884.4907349327,2020-05-27
"United States",2020,23,58893,52686.4,54433.8645480084,54433.8645480084,2020-06-03
"United States",2020,24,58015,52144.4,54143.1726875305,54143.1726875305,2020-06-10
"United States",2020,25,58000,51853.2,52870.2842750107,52870.2842750107,2020-06-17
"United States",2020,26,58504,51670.4,53868.1273349671,53868.1273349671,2020-06-24
"United States",2020,27,59813,52080.8,52463.6006825397,52463.6006825397,2020-07-01
"United States",2020,28,61932,51639.6,52287.598314919,52287.598314919,2020-07-08
"United States",2020,29,63158,51236.6,52148.9567914194,52148.9567914194,2020-07-15
"United States",2020,30,64256,51108.2,52922.1104769774,52922.1104769774,2020-07-22
"United States",2020,31,64223,51103.2,52631.5099381452,52631.5099381452,2020-07-29
"United States",2020,32,63702,51437.4,51583.5017035443,51583.5017035443,2020-08-05
"United States",2020,33,63629,50737.6,52493.795178907,52493.795178907,2020-08-12
"United States",2020,34,62545,50798.4,51761.733763199,51761.733763199,2020-08-19
"United States",2020,35,61109,51031.2,51947.5044116814,51947.5044116814,2020-08-26
"United States",2020,36,60231,51496,52963.973729301,52963.973729301,2020-09-02
"United States",2020,37,59645,51672,53617.09026329,53617.09026329,2020-09-09
"United States",2020,38,59721,51689.6,53981.2435772085,53981.2435772085,2020-09-16
"United States",2020,39,60593,52194.8,54414.4059619469,54414.4059619469,2020-09-23
"United States",2020,40,59788,52482.8,54907.5881085867,54907.5881085867,2020-09-30
"United States",2020,41,61756,52712.8,55585.8617815484,55585.8617815484,2020-10-07
"United States",2020,42,60616,53798,55960.7881568642,55960.7881568642,2020-10-14
"United States",2020,43,62184,53936.8,56259.9795723263,56259.9795723263,2020-10-21
"United States",2020,44,63392,53924.2,57160.3119949044,57160.3119949044,2020-10-28
"United States",2020,45,67541,54848.6,57677.0749932872,57677.0749932872,2020-11-04
"United States",2020,46,68793,55417,58184.4345175444,58184.4345175444,2020-11-11
"United States",2020,47,71635,55660.8,59037.5248627277,59037.5248627277,2020-11-18
"United States",2020,48,73290,55308.2,59697.0957300843,59697.0957300843,2020-11-25
"United States",2020,49,77384,56772.8,60173.3620157208,60173.3620157208,2020-12-02
"United States",2020,50,81955,57549.4,60390.6979457469,60390.6979457469,2020-12-09
"United States",2020,51,82872,58675.2,61939.9973722328,61939.9973722328,2020-12-16
"United States",2020,52,84337,60042.2,62409.3340980126,62409.3340980126,2020-12-23
"United States",2020,53,86974,NA,62722.2251006727,62722.2251006727,2020-12-30
"United States",2021,1,87078,64390.4,62815.3618126747,66204.4414539007,2021-01-01
"United States",2021,2,87421,64965.8,62853.5485572165,66346.3364682219,2021-01-08
"United States",2021,3,83716,62507.6,62479.3551592958,66431.2184771017,2021-01-15
"United States",2021,4,79206,60890.8,61786.715364073,65500.46563846,2021-01-22
"United States",2021,5,76517,59962.8,60783.0497935721,64514.94405581,2021-01-29
"United States",2021,6,71509,60286.2,60335.1258222273,63014.9979663247,2021-02-05
"United States",2021,7,69511,59263.2,61064.4056843183,61935.7214393698,2021-02-12
"United States",2021,8,66731,58177.6,61290.3074991179,61467.8585652336,2021-02-19
"United States",2021,9,63687,57687.8,61723.5154943328,60899.9889391905,2021-02-26
"United States",2021,10,61877,58120.2,63452.4225134555,60553.6398772531,2021-03-05
"United States",2021,11,60365,57415.8,65631.8934847071,60255.6422743734,2021-03-12
"United States",2021,12,60795,57079.2,69206.9981729577,59820.9557455462,2021-03-19
"United States",2021,13,58677,56290.4,73535.4276097381,59574.6108212749,2021-03-26
"United States",2021,14,60981,56079.6,77770.5550467682,59205.343381007,2021-04-02
"United States",2021,15,59129,55388.8,80213.2044767571,58803.1231410386,2021-04-09
"United States",2021,16,60239,54299.2,80941.5295448217,58127.5873292051,2021-04-16
"United States",2021,17,59835,53701.8,77364.9347413412,57738.9161338918,2021-04-23
"United States",2021,18,58973,53891.4,73545.6838469547,57115.4592657225,2021-04-30
"United States",2021,19,58447,52932.8,69835.875545545,56587.1113476257,2021-05-07
"United States",2021,20,58723,53139.8,66514.9224887444,54344.3961275102,2021-05-14
"United States",2021,21,57300,52608.6,64730.8840357268,55467.4583481336,2021-05-21
"United States",2021,22,57389,52139.6,63627.0517913066,54884.4907349327,2021-05-28
"United States",2021,23,56894,52686.4,63141.2974301556,54433.8645480084,2021-06-04
"United States",2021,24,57169,52144.4,63302.1446959656,54143.1726875305,2021-06-11
"United States",2021,25,56862,51853.2,63756.6675647736,52870.2842750107,2021-06-18
"United States",2021,26,57421,51670.4,64511.8125876734,53868.1273349671,2021-06-25
"United States",2021,27,57112,52080.8,66109.4516164998,52463.6006825397,2021-07-02
"United States",2021,28,57086,51639.6,67949.1815729696,52287.598314919,2021-07-09
"United States",2021,29,58325,51236.6,70014.7705672996,52148.9567914194,2021-07-16
"United States",2021,30,60150,51108.2,71170.953691082,52922.1104769774,2021-07-23
"United States",2021,31,63212,51103.2,70645.8931508688,52631.5099381452,2021-07-30
"United States",2021,32,66394,51437.4,69341.4902017644,51583.5017035443,2021-08-06
"United States",2021,33,69371,50737.6,67890.9006585719,52493.795178907,2021-08-13
"United States",2021,34,71511,50798.4,66830.4654214114,51761.733763199,2021-08-20
"United States",2021,35,72749,51031.2,66554.6755992123,51947.5044116814,2021-08-27
"United States",2021,36,72933,51496,66042.7500665021,52963.973729301,2021-09-03
"United States",2021,37,72594,51672,65735.2483485307,53617.09026329,2021-09-10
"United States",2021,38,71388,51689.6,65658.4549203001,53981.2435772085,2021-09-17
"United States",2021,39,70425,52194.8,65689.5068658645,54414.4059619469,2021-09-24
"United States",2021,40,68229,52482.8,66136.805162936,54907.5881085867,2021-10-01
"United States",2021,41,66565,52712.8,67236.2721804861,55585.8617815484,2021-10-08
"United States",2021,42,66137,53798,67914.0957991968,55960.7881568642,2021-10-15
"United States",2021,43,65562,53936.8,69590.8022704352,56259.9795723263,2021-10-22
"United States",2021,44,65033,53924.2,72090.6412856699,57160.3119949044,2021-10-29
"United States",2021,45,65827,54848.6,75752.3180765387,57677.0749932872,2021-11-05
"United States",2021,46,65218,55417,80375.7889803758,58184.4345175444,2021-11-12
"United States",2021,47,65948,55660.8,84226.6328324643,59037.5248627277,2021-11-19
"United States",2021,48,67659,55308.2,88608.7854937496,59697.0957300843,2021-11-26
"United States",2021,49,69009,56772.8,94094.9820006116,60173.3620157208,2021-12-03
"United States",2021,50,67783,57549.4,99827.7321646497,60390.6979457469,2021-12-10
"United States",2021,51,68024,58675.2,103812.020166519,61939.9973722328,2021-12-17
"United States",2021,52,69027,60042.2,105124.179016812,62409.3340980126,2021-12-24
"United States",2022,1,70846,64390.4,103129.320793286,66204.4414539007,2022-01-01
"United States",2022,2,69752,64965.8,99477.9706865354,66346.3364682219,2022-01-08
"United States",2022,3,65117,62507.6,93703.6575588214,66431.2184771017,2022-01-15
"United States",2022,4,53700,60890.8,88913.2895549676,65500.46563846,2022-01-22
"United States",2022,5,36335,59962.8,83827.333877102,64514.94405581,2022-01-29
"Alabama",2020,1,1082,1204.4,1256.18371360652,1256.18371360652,2020-01-01
"Alabama",2020,2,1127,1236.6,1256.12518448744,1256.12518448744,2020-01-08
"Alabama",2020,3,1039,1210.6,1266.09174153442,1266.09174153442,2020-01-15
"Alabama",2020,4,1056,1202,1203.93821032841,1203.93821032841,2020-01-22
"Alabama",2020,5,1026,1132.2,1194.37365199012,1194.37365199012,2020-01-29
"Alabama",2020,6,1120,1147.2,1176.10219378556,1176.10219378556,2020-02-05
"Alabama",2020,7,1095,1109.6,1158.07944119211,1158.07944119211,2020-02-12
"Alabama",2020,8,1098,1100.8,1150.01288368151,1150.01288368151,2020-02-19
"Alabama",2020,9,1164,1156.6,1141.58094710576,1141.58094710576,2020-02-26
"Alabama",2020,10,1057,1086.2,1176.49202374235,1176.49202374235,2020-03-04
"Alabama",2020,11,1091,1088.4,1147.96322543019,1147.96322543019,2020-03-11
"Alabama",2020,12,1059,1045.6,1133.11591771236,1133.11591771236,2020-03-18
"Alabama",2020,13,1073,1044.8,1124.48520119548,1124.48520119548,2020-03-25
"Alabama",2020,14,1156,1041.2,1113.8136447075,1113.8136447075,2020-04-01
"Alabama",2020,15,1135,1029,1111.69969630686,1111.69969630686,2020-04-08
"Alabama",2020,16,1149,1022.4,1116.72630812857,1116.72630812857,2020-04-15
"Alabama",2020,17,1139,1023.2,1114.1067450069,1114.1067450069,2020-04-22
"Alabama",2020,18,1147,1035.2,1101.60314687129,1101.60314687129,2020-04-29
"Alabama",2020,19,1171,1042,1092.7284582317,1092.7284582317,2020-05-06
"Alabama",2020,20,1148,1002.2,1104.20135216906,1104.20135216906,2020-05-13
"Alabama",2020,21,1153,983.6,1101.67501104035,1101.67501104035,2020-05-20
"Alabama",2020,22,1109,1005,1089.31829048975,1089.31829048975,2020-05-27
"Alabama",2020,23,1173,1021.8,1077.63740241071,1077.63740241071,2020-06-03
"Alabama",2020,24,1138,967.6,1081.99197537263,1081.99197537263,2020-06-10
"Alabama",2020,25,1090,985,1093.74787895034,1093.74787895034,2020-06-17
"Alabama",2020,26,1151,934.8,1080.67639505208,1080.67639505208,2020-06-24
"Alabama",2020,27,1201,1005.6,1071.66626343757,1071.66626343757,2020-07-01
"Alabama",2020,28,1265,1008.4,1067.26105162575,1067.26105162575,2020-07-08
"Alabama",2020,29,1289,963.2,1072.17980618621,1072.17980618621,2020-07-15
"Alabama",2020,30,1333,960,1074.95179678108,1074.95179678108,2020-07-22
"Alabama",2020,31,1364,973.8,1054.66746531788,1054.66746531788,2020-07-29
"Alabama",2020,32,1379,986.4,1052.28591178358,1052.28591178358,2020-08-05
"Alabama",2020,33,1305,978.2,1058.86142087977,1058.86142087977,2020-08-12
"Alabama",2020,34,1303,942.6,1058.16038744009,1058.16038744009,2020-08-19
"Alabama",2020,35,1216,966.2,1010.10031678687,1010.10031678687,2020-08-26
"Alabama",2020,36,1216,990.6,1013.90189924134,1013.90189924134,2020-09-02
"Alabama",2020,37,1232,986.6,1012.74427102165,1012.74427102165,2020-09-09
"Alabama",2020,38,1200,996.8,1016.70975706449,1016.70975706449,2020-09-16
"Alabama",2020,39,1183,1006.2,1023.64227892191,1023.64227892191,2020-09-23
"Alabama",2020,40,1103,961.6,1023.44901059632,1023.44901059632,2020-09-30
"Alabama",2020,41,1204,980.8,1021.63507433993,1021.63507433993,2020-10-07
"Alabama",2020,42,1190,994.4,1024.66721301612,1024.66721301612,2020-10-14
"Alabama",2020,43,1142,987,1032.90865464441,1032.90865464441,2020-10-21
"Alabama",2020,44,1169,977.2,1055.15041838271,1055.15041838271,2020-10-28
"Alabama",2020,45,1277,1035.8,1077.15240047188,1077.15240047188,2020-11-04
"Alabama",2020,46,1269,1065.2,1095.05832184482,1095.05832184482,2020-11-11
"Alabama",2020,47,1275,1038,1112.62464466884,1112.62464466884,2020-11-18
"Alabama",2020,48,1326,1060.2,1117.07719902128,1117.07719902128,2020-11-25
"Alabama",2020,49,1355,1073.2,1122.01618776584,1122.01618776584,2020-12-02
"Alabama",2020,50,1598,1104.4,1137.47563535119,1137.47563535119,2020-12-09
"Alabama",2020,51,1584,1121.6,1154.20325788111,1154.20325788111,2020-12-16
"Alabama",2020,52,1626,1096,1168.24013012421,1168.24013012421,2020-12-23
"Alabama",2020,53,1804,NA,1186.86818614005,1186.86818614005,2020-12-30
"Alabama",2021,1,1809,1204.4,1193.58071246761,1256.18371360652,2021-01-01
"Alabama",2021,2,1832,1236.6,1201.90687210109,1256.12518448744,2021-01-08
"Alabama",2021,3,1790,1210.6,1201.78419179788,1266.09174153442,2021-01-15
"Alabama",2021,4,1637,1202,1186.95785620036,1203.93821032841,2021-01-22
"Alabama",2021,5,1508,1132.2,1176.71612120411,1194.37365199012,2021-01-29
"Alabama",2021,6,1431,1147.2,1158.08177002722,1176.10219378556,2021-02-05
"Alabama",2021,7,1332,1109.6,1145.07768555157,1158.07944119211,2021-02-12
"Alabama",2021,8,1314,1100.8,1142.89529054209,1150.01288368151,2021-02-19
"Alabama",2021,9,1159,1156.6,1137.88160016824,1141.58094710576,2021-02-26
"Alabama",2021,10,1189,1086.2,1172.69042260249,1176.49202374235,2021-03-05
"Alabama",2021,11,1059,1088.4,1177.91196824395,1147.96322543019,2021-03-12
"Alabama",2021,12,1189,1045.6,1187.75508002783,1133.11591771236,2021-03-19
"Alabama",2021,13,1104,1044.8,1215.6284522054,1124.48520119548,2021-03-26
"Alabama",2021,14,1208,1041.2,1238.05748815896,1113.8136447075,2021-04-02
"Alabama",2021,15,1168,1029,1264.88455017272,1111.69969630686,2021-04-09
"Alabama",2021,16,1105,1022.4,1276.23872141925,1116.72630812857,2021-04-16
"Alabama",2021,17,1192,1023.2,1276.49160833898,1114.1067450069,2021-04-23
"Alabama",2021,18,1152,1035.2,1275.67947486615,1101.60314687129,2021-04-30
"Alabama",2021,19,1095,1042,1143.26223581422,1092.7284582317,2021-05-07
"Alabama",2021,20,1093,1002.2,1144.77648981784,1104.20135216906,2021-05-14
"Alabama",2021,21,1078,983.6,1256.12881540469,1101.67501104035,2021-05-21
"Alabama",2021,22,1083,1005,1261.96539012976,1089.31829048975,2021-05-28
"Alabama",2021,23,1107,1021.8,1265.90573728427,1077.63740241071,2021-06-04
"Alabama",2021,24,1130,967.6,1274.7158955527,1081.99197537263,2021-06-11
"Alabama",2021,25,1074,985,1306.27311158877,1093.74787895034,2021-06-18
"Alabama",2021,26,1060,934.8,1329.72715596875,1080.67639505208,2021-06-25
"Alabama",2021,27,1132,1005.6,1383.17297782225,1071.66626343757,2021-07-02
"Alabama",2021,28,1053,1008.4,1465.78355791816,1067.26105162575,2021-07-09
"Alabama",2021,29,1101,963.2,1516.74401116847,1072.17980618621,2021-07-16
"Alabama",2021,30,1167,960,1561.92094992195,1074.95179678108,2021-07-23
"Alabama",2021,31,1325,973.8,1540.58975313924,1054.66746531788,2021-07-30
"Alabama",2021,32,1437,986.4,1506.03370069654,1052.28591178358,2021-08-06
"Alabama",2021,33,1577,978.2,1466.83197766564,1058.86142087977,2021-08-13
"Alabama",2021,34,1609,942.6,1439.1213758483,1058.16038744009,2021-08-20
"Alabama",2021,35,1601,966.2,1412.78554622909,1010.10031678687,2021-08-27
"Alabama",2021,36,1740,990.6,1372.129402233,1013.90189924134,2021-09-03
"Alabama",2021,37,1580,986.6,1354.36169587201,1012.74427102165,2021-09-10
"Alabama",2021,38,1448,996.8,1347.51832213008,1016.70975706449,2021-09-17
"Alabama",2021,39,1490,1006.2,1323.99394275233,1023.64227892191,2021-09-24
"Alabama",2021,40,1361,961.6,1306.27857009454,1023.44901059632,2021-10-01
"Alabama",2021,41,1270,980.8,1318.46793033751,1021.63507433993,2021-10-08
"Alabama",2021,42,1205,994.4,1334.98804155354,1024.66721301612,2021-10-15
"Alabama",2021,43,1108,987,1367.17175328306,1032.90865464441,2021-10-22
"Alabama",2021,44,1177,977.2,1385.82114815481,1055.15041838271,2021-10-29
"Alabama",2021,45,1162,1035.8,1439.47432634746,1077.15240047188,2021-11-05
"Alabama",2021,46,1086,1065.2,1508.38768129413,1095.05832184482,2021-11-12
"Alabama",2021,47,1171,1038,1532.60600067267,1112.62464466884,2021-11-19
"Alabama",2021,48,1229,1060.2,1571.73349753196,1117.07719902128,2021-11-26
"Alabama",2021,49,1222,1073.2,1724.16993804817,1122.01618776584,2021-12-03
"Alabama",2021,50,1119,1104.4,1905.27548270322,1137.47563535119,2021-12-10
"Alabama",2021,51,1099,1121.6,2025.68127304455,1154.20325788111,2021-12-17
"Alabama",2021,52,1194,1096,2173.12782702909,1168.24013012421,2021-12-24
"Alabama",2022,1,1238,1204.4,2177.98263124346,1256.18371360652,2022-01-01
"Alabama",2022,2,1390,1236.6,2121.6240000009,1256.12518448744,2022-01-08
"Alabama",2022,3,1296,1210.6,2014.72504744359,1266.09174153442,2022-01-15
"Alabama",2022,4,1283,1202,1884.48660940765,1203.93821032841,2022-01-22
"Alabama",2022,5,867,1132.2,1770.31215905954,1194.37365199012,2022-01-29
"Alaska",2020,1,89,99.6,106.324840122825,106.324840122825,2020-01-01
"Alaska",2020,2,105,94.8,105.86140131883,105.86140131883,2020-01-08
"Alaska",2020,3,99,94,106.170902672238,106.170902672238,2020-01-15
"Alaska",2020,4,97,94,116.197241117966,116.197241117966,2020-01-22
"Alaska",2020,5,85,94.2,120.047826571828,120.047826571828,2020-01-29
"Alaska",2020,6,92,94,121.404646954171,121.404646954171,2020-02-05
"Alaska",2020,7,89,92.6,120.594443734941,120.594443734941,2020-02-12
"Alaska",2020,8,83,92,122.741318849502,122.741318849502,2020-02-19
"Alaska",2020,9,84,92.4,117.787286898696,117.787286898696,2020-02-26
"Alaska",2020,10,79,92.4,113.658179974035,113.658179974035,2020-03-04
"Alaska",2020,11,92,93.6,101.793392524438,101.793392524438,2020-03-11
"Alaska",2020,12,69,87.6,102.362821251601,102.362821251601,2020-03-18
"Alaska",2020,13,86,89.6,101.320203569496,101.320203569496,2020-03-25
"Alaska",2020,14,98,91.2,100.194123956487,100.194123956487,2020-04-01
"Alaska",2020,15,84,89.2,100.34022372488,100.34022372488,2020-04-08
"Alaska",2020,16,80,92.4,100.317718336522,100.317718336522,2020-04-15
"Alaska",2020,17,61,81,99.8403543122761,99.8403543122761,2020-04-22
"Alaska",2020,18,87,96.6,98.6550207759759,98.6550207759759,2020-04-29
"Alaska",2020,19,89,107.6,98.0140652901932,98.0140652901932,2020-05-06
"Alaska",2020,20,84,96.8,97.2045753218706,97.2045753218706,2020-05-13
"Alaska",2020,21,82,81.2,98.4033123351447,98.4033123351447,2020-05-20
"Alaska",2020,22,97,94.2,96.8533582602994,96.8533582602994,2020-05-27
"Alaska",2020,23,79,90.2,97.6389887333795,97.6389887333795,2020-06-03
"Alaska",2020,24,88,85.6,97.5935236346885,97.5935236346885,2020-06-10
"Alaska",2020,25,92,94.8,99.9560451372561,99.9560451372561,2020-06-17
"Alaska",2020,26,90,87,99.7424206493133,99.7424206493133,2020-06-24
