"date_ref","ent_regis","metric","deaths"
2020-01-01,"United States","deaths_count",60173
2020-01-01,"United States","channel_endemic_estimation",64390.4
2020-01-01,"United States","farrington_estimation_all",66204.4414539007
2020-01-01,"United States","farrington_partial",66204.4414539007
2020-01-08,"United States","deaths_count",60733
2020-01-08,"United States","channel_endemic_estimation",64965.8
2020-01-08,"United States","farrington_estimation_all",66346.3364682219
2020-01-08,"United States","farrington_partial",66346.3364682219
2020-01-15,"United States","deaths_count",59359
2020-01-15,"United States","channel_endemic_estimation",62507.6
2020-01-15,"United States","farrington_estimation_all",66431.2184771017
2020-01-15,"United States","farrington_partial",66431.2184771017
2020-01-22,"United States","deaths_count",59159
2020-01-22,"United States","channel_endemic_estimation",60890.8
2020-01-22,"United States","farrington_estimation_all",65500.46563846
2020-01-22,"United States","farrington_partial",65500.46563846
2020-01-29,"United States","deaths_count",58835
2020-01-29,"United States","channel_endemic_estimation",59962.8
2020-01-29,"United States","farrington_estimation_all",64514.94405581
2020-01-29,"United States","farrington_partial",64514.94405581
2020-02-05,"United States","deaths_count",59478
2020-02-05,"United States","channel_endemic_estimation",60286.2
2020-02-05,"United States","farrington_estimation_all",63014.9979663247
2020-02-05,"United States","farrington_partial",63014.9979663247
2020-02-12,"United States","deaths_count",58817
2020-02-12,"United States","channel_endemic_estimation",59263.2
2020-02-12,"United States","farrington_estimation_all",61935.7214393698
2020-02-12,"United States","farrington_partial",61935.7214393698
2020-02-19,"United States","deaths_count",58906
2020-02-19,"United States","channel_endemic_estimation",58177.6
2020-02-19,"United States","farrington_estimation_all",61467.8585652336
2020-02-19,"United States","farrington_partial",61467.8585652336
2020-02-26,"United States","deaths_count",59330
2020-02-26,"United States","channel_endemic_estimation",57687.8
2020-02-26,"United States","farrington_estimation_all",60899.9889391905
2020-02-26,"United States","farrington_partial",60899.9889391905
2020-03-04,"United States","deaths_count",59692
2020-03-04,"United States","channel_endemic_estimation",58120.2
2020-03-04,"United States","farrington_estimation_all",60553.6398772531
2020-03-04,"United States","farrington_partial",60553.6398772531
2020-03-11,"United States","deaths_count",58689
2020-03-11,"United States","channel_endemic_estimation",57415.8
2020-03-11,"United States","farrington_estimation_all",60255.6422743734
2020-03-11,"United States","farrington_partial",60255.6422743734
2020-03-18,"United States","deaths_count",59216
2020-03-18,"United States","channel_endemic_estimation",57079.2
2020-03-18,"United States","farrington_estimation_all",59820.9557455462
2020-03-18,"United States","farrington_partial",59820.9557455462
